TMA,Version,4,,,,,,,,,,
.,,,,,,,,,,,,
Key,Level1,Level2,Level3,ARL-SKT,LNL-SKT,CMT,GRT,Locate-with,Count Domain,Metric Description,Metric Group,Threshold
FE,Frontend_Bound,,,TOPDOWN_FE_BOUND.ALL / #SLOTS,TOPDOWN_FE_BOUND.ALL / #SLOTS,TOPDOWN_FE_BOUND.ALL_P / #SLOTS,TOPDOWN_FE_BOUND.ALL / #SLOTS,,Slots,Counts the number of issue slots that were not consumed by the backend due to frontend stalls.,,>0.20
FE,,IFetch_Latency,,TOPDOWN_FE_BOUND.FRONTEND_LATENCY / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_LATENCY / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_LATENCY / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_LATENCY / #SLOTS,,Slots,"Counts the number of issue slots that were not delivered by the frontend due to frontend latency restrictions due to icache misses, itlb misses, branch detection, and resteer limitations.",,>0.15 & P
FE,,,ICache_Misses,TOPDOWN_FE_BOUND.ICACHE / #SLOTS,TOPDOWN_FE_BOUND.ICACHE / #SLOTS,TOPDOWN_FE_BOUND.ICACHE / #SLOTS,TOPDOWN_FE_BOUND.ICACHE / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to instruction cache misses.,,>0.05 & P
FE,,,ITLB_Misses,TOPDOWN_FE_BOUND.ITLB_MISS / #SLOTS,TOPDOWN_FE_BOUND.ITLB_MISS / #SLOTS,TOPDOWN_FE_BOUND.ITLB_MISS / #SLOTS,TOPDOWN_FE_BOUND.ITLB / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to Instruction Table Lookaside Buffer (ITLB) misses.,,>0.05 & P
FE,,,Branch_Detect,TOPDOWN_FE_BOUND.BRANCH_DETECT / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_DETECT / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_DETECT / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_DETECT / #SLOTS,,Slots,"Counts the number of issue slots that were not delivered by the frontend due to BACLEARS, which occurs when the Branch Target Buffer (BTB) prediction or lack thereof, was corrected by a later branch predictor in the frontend. Includes BACLEARS due to all branch types including conditional and unconditional jumps, returns, and indirect branches.",,>0.05 & P
FE,,,Branch_Resteer,TOPDOWN_FE_BOUND.BRANCH_RESTEER / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_RESTEER / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_RESTEER / #SLOTS,TOPDOWN_FE_BOUND.BRANCH_RESTEER / #SLOTS,,Slots,"Counts the number of issue slots that were not delivered by the frontend due to BTCLEARS, which occurs when the Branch Target Buffer (BTB) predicts a taken branch.",,>0.05 & P
FE,,IFetch_Bandwidth,,TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH / #SLOTS,TOPDOWN_FE_BOUND.FRONTEND_BANDWIDTH / #SLOTS,,Slots,"Counts the number of issue slots that were not delivered by the frontend due to frontend bandwidth restrictions due to decode, predecode, cisc, and other limitations.",,>0.10 & P
FE,,,Cisc,TOPDOWN_FE_BOUND.CISC / #SLOTS,TOPDOWN_FE_BOUND.CISC / #SLOTS,TOPDOWN_FE_BOUND.CISC / #SLOTS,TOPDOWN_FE_BOUND.CISC / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to the microcode sequencer (MS).,,>0.05 & P
FE,,,Decode,TOPDOWN_FE_BOUND.DECODE / #SLOTS,TOPDOWN_FE_BOUND.DECODE / #SLOTS,TOPDOWN_FE_BOUND.DECODE / #SLOTS,TOPDOWN_FE_BOUND.DECODE / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to decode stalls.,,>0.05 & P
FE,,,Predecode,TOPDOWN_FE_BOUND.PREDECODE / #SLOTS,TOPDOWN_FE_BOUND.PREDECODE / #SLOTS,TOPDOWN_FE_BOUND.PREDECODE / #SLOTS,TOPDOWN_FE_BOUND.PREDECODE / #SLOTS,,Slots,Counts the number of issue slots that were not delivered by the frontend due to wrong predecodes.,,>0.05 & P
