TMA,Version,5.1-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0730-full,,,full,full,full;bot;,full,full,full,full
.,,,Confidential,,,,,Server,,Server,Server,Server,,,,Server,,Server,Server,,Server,,Server,,Server,,Server,,Server,,,,,,,,,,,;bot;EDP;perf,,,,
Key,Level1,Level2,Level3,Level4,Level5,Level6,LNL/ARL,GNR,MTL,EMR,SPR-HBM,SPR,ADL/RPL,TGL,RKL,ICX,ICL,CPX,CLX,KBLR/CFL/CML,SKX,SKL/KBL,BDX,BDW,HSX,HSW,IVT,IVB,JKT/SNB-EP,SNB,Locate-with,Count Domain,Metric Description,Threshold,Version,Metric Group,Metric Max,flavor,level,Tool;bot;,ToolAlias,Attribute,Tuning Hint,Link
Bottleneck,Mispredictions,,,,,,,,,,,,,,,,,,,,,100 * ( 1 - #Umisp ) * ( Branch_Mispredicts + Fetch_Latency * Mispredicts_Resteers / ##Fetch_Latency ),,,,,,,,,,Scaled_Slots,Total pipeline cost of Branch Misprediction related bottlenecks,> 20; $issueBM,4.7,Bad;BadSpec;BrMispredicts;BvMP,,pub/v4.3,0,;bot;EDP;perf,,InTree,,
Bottleneck,Big_Code,,,,,,,,,,,,,,,,,,,,,100 * Fetch_Latency * ( ITLB_Misses + ICache_Misses + Unknown_Branches ) / ##Fetch_Latency,,,,,,,,,,Scaled_Slots,Total pipeline cost of instruction fetch related bottlenecks by large code footprint programs (i-side cache; TLB and BTB misses),> 20,4.6,BvBC;BigFootprint;Fed;Frontend;IcMiss;MemoryTLB,,pub/v4.3,0,;bot;EDP;perf,,InTree,,
Bottleneck,Instruction_Fetch_BW,,,,,,,,,,,,,,,,,,,,,100 * ( Frontend_Bound - ( 1 - #Umisp ) * Fetch_Latency * Mispredicts_Resteers / ##Fetch_Latency - #Assist_Frontend ) - Big_Code,,,,,,,,,,Scaled_Slots,Total pipeline cost of instruction fetch bandwidth related bottlenecks (when the front-end could not sustain operations delivery to the back-end),> 20,5.1,BvFB;Fed;FetchBW;Frontend,,pub/v4.3,0,;bot;EDP;perf,,Tree+#Repeat_Fraction,,
Bottleneck,Data_Cache_Memory_Bandwidth,,,,,,,100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Bandwidth / ##DRAM_Bound ) ) + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( SQ_Full / ##L3_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( FB_Full / ##L1_Bound ) ) ),,,( 100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Bandwidth / ##DRAM_Bound ) ) + ( Memory_Bound * HBM_Bound / ##Memory_Bound ) * MEM_Bandwidth / ##DRAM_Bound + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( SQ_Full / ##L3_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( FB_Full / ##L1_Bound ) ) ) ),,,,,,,,,,,100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Bandwidth / ##DRAM_Bound ) ) + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( SQ_Full / ##L3_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( FB_Full / ##L1_Bound ) ) ),,,,,,,,,,Scaled_Slots,Total pipeline cost of external Memory- or Cache-Bandwidth related bottlenecks,> 20; $issueBW,4.9,BvMB;Mem;MemoryBW;Offcore,,pub/5.0,0,;bot;EDP;perf,,InTree,,
Bottleneck,Data_Cache_Memory_Latency,,,,,,100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Latency / ##DRAM_Bound ) ) + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( L3_Hit_Latency / ##L3_Bound ) ) + ( Memory_Bound * L2_Bound / ##Memory_Bound ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( L1_Latency_Dependency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( L1_Latency_Capacity / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Lock_Latency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Split_Loads / ##L1_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Split_Stores / ##Store_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Store_Latency / ##Store_Bound ) ) ),,,,100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Latency / ##DRAM_Bound ) ) + ( Memory_Bound * HBM_Bound / ##Memory_Bound ) * MEM_Latency / ##DRAM_Bound + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( L3_Hit_Latency / ##L3_Bound ) ) + ( Memory_Bound * L2_Bound / ##Memory_Bound ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( L1_Latency_Dependency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Lock_Latency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Split_Loads / ##L1_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Split_Stores / ##Store_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Store_Latency / ##Store_Bound ) ) ),,,,,,,,,,,100 * ( ( Memory_Bound * ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Latency / ##DRAM_Bound ) ) + ( Memory_Bound * ( L3_Bound / ##Memory_Bound ) * ( L3_Hit_Latency / ##L3_Bound ) ) + ( Memory_Bound * L2_Bound / ##Memory_Bound ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( L1_Latency_Dependency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Lock_Latency / ##L1_Bound ) ) + ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( Split_Loads / ##L1_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Split_Stores / ##Store_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( Store_Latency / ##Store_Bound ) ) ),,,,,,,,,,Scaled_Slots,Total pipeline cost of external Memory- or Cache-Latency related bottlenecks,> 20; $issueLat,5.0,BvML;Mem;MemoryLat;Offcore,,pub/5.0,0,;bot;EDP;perf,,InTree,,
Bottleneck,Memory_Data_TLBs,,,,,,,,100 * ( ( Memory_Bound * ( L1_Bound / ##Memory_Bound ) * ( DTLB_Load / ##L1_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( DTLB_Store / ##Store_Bound ) ) ),,,,,,,,,,,,,"100 * ( Memory_Bound * ( L1_Bound / max( Memory_Bound , ##Memory_Bound ) ) * ( DTLB_Load / max( L1_Bound , ##L1_Bound ) ) + ( Memory_Bound * ( Store_Bound / ##Memory_Bound ) * ( DTLB_Store / ##Store_Bound ) ) ) ",,,,,,,,,,Scaled_Slots,Total pipeline cost of Memory Address Translation related bottlenecks (data-side TLBs),> 20; $issueTLB,5.0,BvMT;Mem;MemoryTLB;Offcore,,pub/5.0,0,;bot;EDP;perf,,InTree,,
Bottleneck,Memory_Synchronization,,,,,,,,,,,,,,,,,,,,100 * ( Memory_Bound * ( ( DRAM_Bound / ##Memory_Bound ) * ( MEM_Latency / ##DRAM_Bound ) * Remote_Cache / ##MEM_Latency + ( L3_Bound / ##Memory_Bound ) * ( Contested_Accesses + Data_Sharing ) / ##L3_Bound + ( Store_Bound / ##Memory_Bound ) * False_Sharing / ( ##Store_Bound - Store_Latency )  ) + Machine_Clears * ( 1 - Other_Nukes / ##Machine_Clears ) ) if #DS else 100 * ( Memory_Bound * ( ( L3_Bound / ##Memory_Bound ) * ( Contested_Accesses + Data_Sharing ) / ##L3_Bound + ( Store_Bound / ##Memory_Bound ) * False_Sharing / ( ##Store_Bound - Store_Latency )  ) + Machine_Clears * ( 1 - Other_Nukes / ##Machine_Clears ) ),100 * ( Memory_Bound * ( ( L3_Bound / ##Memory_Bound ) * ( Contested_Accesses + Data_Sharing ) / ##L3_Bound + ( Store_Bound / ##Memory_Bound ) * False_Sharing / ( ##Store_Bound - Store_Latency )  ) + Machine_Clears * ( 1 - Other_Nukes / ##Machine_Clears ) ),,,,,,,,,,Scaled_Slots,Total pipeline cost of Memory Synchronization related bottlenecks (data transfers and coherency updates across processors),> 10; $issueSyncxn,5.0,BvMS;LockCont;Mem;Offcore,,pub/5.0,0,;bot;EDP;perf,,,,
Bottleneck,Compute_Bound_Est,,,,,,,,,,,100 * ( ( Core_Bound * Divider / ##Core_Bound ) + ( Core_Bound * AMX_Busy / ##Core_Bound ) + ( Core_Bound * ( Ports_Utilization / ##Core_Bound ) * ( Ports_Utilized_3m / ##Ports_Utilization ) ) ),,,,,,,,,,100 * ( ( Core_Bound * Divider / ##Core_Bound ) + ( Core_Bound * ( Ports_Utilization / ##Core_Bound ) * ( Ports_Utilized_3m / ##Ports_Utilization ) ) ),,,,,,,,,,Scaled_Slots,Total pipeline cost when the execution is compute-bound - an estimation. Covers Core Bound when High ILP as well as when long-latency execution units are busy.,> 20; $issueComp,4.8,BvCB;Cor,,pub/5.0,0,;bot;EDP;perf,,Tree+ILP,,
Bottleneck,Irregular_Overhead,,,,,,,,,,,,,,,,,,,,,100 * ( #Assist_Frontend + #Umisp * Branch_Mispredicts + ( Machine_Clears * Other_Nukes / ##Machine_Clears ) + #Serialize_Core + #Assist_Retired ),,,,,,,,,,Scaled_Slots,"Total pipeline cost of irregular execution (e.g. FP-assists in HPC, Wait time with work imbalance multithreaded workloads, overhead in system services or virtualized environments)",> 10; $issueMS,5.1,Bad;BvIO;Cor;Ret,,pub/5.0,0,;bot;EDP;perf,,Tree+#Repeat_Fraction,,
