Family-model,Version,Filename,EventType,Core Type,Native Model ID,Core Role Name
GenuineIntel-6-2E,V4,/NHM-EX/events/NehalemEX_core.json,core,,,
GenuineIntel-6-1E,V4,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-1F,V4,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-1A,V4,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-2F,V4,/WSM-EX/events/WestmereEX_core.json,core,,,
GenuineIntel-6-25,V4,/WSM-EP-SP/events/WestmereEP-SP_core.json,core,,,
GenuineIntel-6-2C,V5,/WSM-EP-DP/events/WestmereEP-DP_core.json,core,,,
GenuineIntel-6-37,V15,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-37,V15,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4A,V15,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-4A,V15,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4D,V15,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-4D,V15,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4C,V15,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-4C,V15,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-5A,V15,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-5A,V15,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-5C,V13,/GLM/events/goldmont_core.json,core,,,
GenuineIntel-6-5C,V13,/GLM/events/goldmont_matrix.json,offcore,,,
GenuineIntel-6-5C,V13,/GLM/events/goldmont_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-5F,V13,/GLM/events/goldmont_core.json,core,,,
GenuineIntel-6-5F,V13,/GLM/events/goldmont_matrix.json,offcore,,,
GenuineIntel-6-5F,V13,/GLM/events/goldmont_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-1C,V5,/BNL/events/bonnell_core.json,core,,,
GenuineIntel-6-26,V5,/BNL/events/bonnell_core.json,core,,,
GenuineIntel-6-27,V5,/BNL/events/bonnell_core.json,core,,,
GenuineIntel-6-36,V5,/BNL/events/bonnell_core.json,core,,,
GenuineIntel-6-35,V5,/BNL/events/bonnell_core.json,core,,,
GenuineIntel-6-2A,V19,/SNB/events/sandybridge_core.json,core,,,
GenuineIntel-6-2A,V19,/SNB/events/sandybridge_matrix.json,offcore,,,
GenuineIntel-6-2A,V19,/SNB/events/sandybridge_uncore.json,uncore,,,
GenuineIntel-6-2D,V24,/JKT/events/Jaketown_core.json,core,,,
GenuineIntel-6-2D,V24,/JKT/events/Jaketown_matrix.json,offcore,,,
GenuineIntel-6-2D,V24,/JKT/events/Jaketown_uncore.json,uncore,,,
GenuineIntel-6-3A,V24,/IVB/events/ivybridge_core.json,core,,,
GenuineIntel-6-3A,V24,/IVB/events/ivybridge_matrix.json,offcore,,,
GenuineIntel-6-3A,V24,/IVB/events/ivybridge_uncore.json,uncore,,,
GenuineIntel-6-3A,V24,/IVB/events/ivybridge_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-3E,V24,/IVT/events/ivytown_core.json,core,,,
GenuineIntel-6-3E,V24,/IVT/events/ivytown_matrix.json,offcore,,,
GenuineIntel-6-3E,V24,/IVT/events/ivytown_uncore.json,uncore,,,
GenuineIntel-6-3C,V36,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-45,V36,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-46,V36,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-3C,V36,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-45,V36,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-46,V36,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-3C,V36,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-45,V36,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-46,V36,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-3C,V36,/HSW/events/haswell_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-45,V36,/HSW/events/haswell_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-46,V36,/HSW/events/haswell_fp_arith_inst.json,fp_arith_inst,,,
GenuineIntel-6-3C,V1.0,/HSW/metrics/haswell_metrics.json,metrics,,,
GenuineIntel-6-45,V1.0,/HSW/metrics/haswell_metrics.json,metrics,,,
GenuineIntel-6-46,V1.0,/HSW/metrics/haswell_metrics.json,metrics,,,
GenuineIntel-6-3F,V29,/HSX/events/haswellx_core.json,core,,,
GenuineIntel-6-3F,V29,/HSX/events/haswellx_matrix.json,offcore,,,
GenuineIntel-6-3F,V29,/HSX/events/haswellx_uncore.json,uncore,,,
GenuineIntel-6-3F,V1.0,/HSX/metrics/haswellx_metrics.json,metrics,,,
GenuineIntel-6-3D,V30,/BDW/events/broadwell_core.json,core,,,
GenuineIntel-6-3D,V30,/BDW/events/broadwell_matrix.json,offcore,,,
GenuineIntel-6-3D,V30,/BDW/events/broadwell_uncore.json,uncore,,,
GenuineIntel-6-3D,V30,/BDW/events/broadwell_fp_arith_inst.json,fp_arith_inst,,,
