name,new_name,description,filter,scale,formula,comment
UNC_C_CLOCKTICKS,,,,,,
UNC_H_CORE_SNP.CORE_GTONE,,,,,,
UNC_H_CORE_SNP.EVICT_GTONE,,,,,,
UNC_H_DIR_LOOKUP.SNP,,,,,,
UNC_H_DIR_LOOKUP.NO_SNP,,,,,,
UNC_H_DIR_UPDATE.HA,,,,,,
UNC_H_DIR_UPDATE.TOR,,,,,,
UNC_H_HITME_HIT.EX_RDS,,,,,,
UNC_C_LLC_LOOKUP.DATA_READ,,,,,,
UNC_C_LLC_LOOKUP.REMOTE_SNOOP,,,,,,
UNC_C_LLC_VICTIMS.M_STATE,,,,,,
UNC_C_LLC_VICTIMS.E_STATE,,,,,,
UNC_C_LLC_VICTIMS.S_STATE,,,,,,
UNC_C_LLC_VICTIMS.F_STATE,,,,,,
UNC_H_MISC.RFO_HIT_S,,,,,,
UNC_H_REQUESTS.READS,,read requests from home agent,,,,
UNC_H_REQUESTS.WRITES,,write requests from home agent,,,,
UNC_H_REQUESTS.READS_LOCAL,,read requests from local home agent,,,,
UNC_H_REQUESTS.WRITES_LOCAL,,write requests from local home agent,,,,
UNC_H_REQUESTS.INVITOE_LOCAL,,,,,,
UNC_H_REQUESTS.INVITOE_REMOTE,,,,,,
UNC_H_SNOOP_RESP.RSPIFWD,,,,,,
UNC_H_SNOOP_RESP.RSPSFWD,,,,,,
UNC_H_SNOOP_RESP.RSP_FWD_WB,,,,,,
UNC_H_SNOOP_RESP.RSPCNFLCT,,,,,,
UNC_C_TOR_INSERTS.IRQ,,,,,,
UNC_C_TOR_OCCUPANCY.IRQ,,,,,,
UNC_C_TOR_INSERTS.REM_ALL,,,,,,
UNC_C_FAST_ASSERTED,,,,,,
UNC_H_RxC_INSERTS.IRQ,,,,,,
UNC_H_RxC_IRQ1_REJECT.PA_MATCH,,,,,,
UNC_H_RxC_OCCUPANCY.IRQ,,,,,,
UNC_C_TOR_INSERTS.IRQ_HIT,,,,,,
UNC_C_TOR_INSERTS.IRQ_MISS,,,,,,
UNC_C_TOR_INSERTS.PRQ_HIT,,,,,,
UNC_C_TOR_INSERTS.PRQ_MISS,,,,,,
UNC_C_TOR_OCCUPANCY.IRQ_HIT,,,,,,
UNC_C_TOR_OCCUPANCY.IRQ_MISS,,,,,,
UNC_CHA_TOR_INSERTS.IO_HIT,,,,,,
UNC_CHA_TOR_INSERTS.IO_MISS,,,,,,
UNC_CHA_TOR_INSERTS.IA,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS,,,,,,
UNC_CHA_UPI_CREDIT_OCCUPANCY.VN0_BL_NCS,,,,,,
UNC_CHA_HITME_HIT.EX_RDS,,,,,,
UNC_CHA_FAST_ASSERTED.HORZ,,,,,,
UNC_CHA_CLOCKTICKS,,,,,,
UNC_CHA_CORE_SNP.CORE_GTONE,,,,,,
UNC_CHA_CORE_SNP.EVICT_GTONE,,,,,,
UNC_CHA_DIR_LOOKUP.SNP,,,,,,
UNC_CHA_DIR_LOOKUP.NO_SNP,,,,,,
UNC_CHA_DIR_UPDATE.HA,,,,,,
UNC_CHA_DIR_UPDATE.TOR,,,,,,
UNC_CHA_IMC_READS_COUNT.NORMAL,,,,,,
UNC_CHA_IMC_WRITES_COUNT.FULL,,,,,,
UNC_CHA_MISC.RFO_HIT_S,,,,,,
UNC_CHA_REQUESTS.READS,,,,,,
UNC_CHA_REQUESTS.WRITES,,,,,,
UNC_CHA_REQUESTS.READS_LOCAL,,,,,,
UNC_CHA_REQUESTS.READS_REMOTE,,,,,,
UNC_CHA_REQUESTS.WRITES_LOCAL,,,,,,
UNC_CHA_REQUESTS.INVITOE_LOCAL,,,,,,
UNC_CHA_REQUESTS.INVITOE_REMOTE,,,,,,
UNC_CHA_SNOOP_RESP.RSPI,,,,,,
UNC_CHA_SNOOP_RESP.RSPIFWD,,,,,,
UNC_CHA_SNOOP_RESP.RSPSFWD,,,,,,
UNC_CHA_SNOOP_RESP.RSP_WBWB,,,,,,
UNC_CHA_SNOOP_RESP.RSP_FWD_WB,,,,,,
UNC_CHA_SNOOP_RESP.RSPCNFLCTS,,,,,,
UNC_CHA_SF_EVICTION.M_STATE,,,,,,
UNC_CHA_SF_EVICTION.E_STATE,,,,,,
UNC_CHA_SF_EVICTION.S_STATE,,,,,,
UNC_CHA_TOR_INSERTS.REM_ALL,,,,,,
UNC_CHA_RxC_INSERTS.IRQ,,,,,,
UNC_CHA_RxC_IRQ1_REJECT.PA_MATCH,,,,,,
UNC_CHA_RxC_OCCUPANCY.IRQ,,,,,,
UNC_CHA_LLC_VICTIMS.TOTAL_M,,,,,,
UNC_CHA_LLC_VICTIMS.TOTAL_E,,,,,,
UNC_CHA_LLC_VICTIMS.TOTAL_S,,,,,,
UNC_CHA_LLC_VICTIMS.TOTAL_F,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_DRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_HIT_CRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_HIT_RFO,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_HIT_LlcPrefDRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_HIT_LlcPrefCRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_HIT_LlcPrefRFO,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_DRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_CRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_RFO,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_LlcPrefDRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_LlcPrefCRD,,,Filter1,,,
UNC_CHA_TOR_INSERTS.IA_MISS_LlcPrefRFO,,,Filter1,,,
