name,new_name,description,filter,scale,formula,comment
UNC_CHA_CLOCKTICKS,,Uncore cache clock ticks,,,,
UNC_CHA_IMC_READS_COUNT.NORMAL,,,,,,
UNC_CHA_IMC_WRITES_COUNT.FULL,,,,,,
UNC_CHA_LLC_VICTIMS.ALL,,,,,,
UNC_CHA_REQUESTS.READS,,,,,,
UNC_CHA_REQUESTS.WRITES,,,,,,
UNC_CHA_SF_EVICTION.E_STATE,,,,,,
UNC_CHA_SF_EVICTION.M_STATE,,,,,,
UNC_CHA_SF_EVICTION.S_STATE,,,,,,
UNC_CHA_TOR_INSERTS.IA,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_CRD,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_RFO,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS_CRD,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS_RFO,,,,,,
UNC_CHA_TOR_INSERTS.IO,,,,,,
UNC_CHA_TOR_INSERTS.IO_HIT,,,,,,
UNC_CHA_TOR_INSERTS.IO_MISS,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_HIT,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD,,,,,,
UNC_CHA_TOR_OCCUPANCY.IA_MISS_RFO,,,,,,
UNC_CHA_TOR_OCCUPANCY.IO,,,,,,
UNC_CHA_TOR_OCCUPANCY.IO_HIT,,,,,,
UNC_CHA_TOR_OCCUPANCY.IO_MISS,,,,,,
UNC_CHA_TOR_INSERTS.IO_MISS_ITOM,,,,,,
UNC_CHA_CMS_CLOCKTICKS,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_CRD_PREF,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_OPT,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_DRD_OPT_PREF,,,,,,
UNC_CHA_TOR_INSERTS.IA_HIT_RFO_PREF,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF,,,,,,
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_OPT,,,,,,
