Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.013641,8.254,8.336,0.274,0.912,7.748
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.022014,8.373,8.345,0.189,0.859,7.719
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.015653,7.971,8.354,1.339,9.828,22.434
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.030299,8.285,8.354,0.359,0.478,7.788
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.023005,7.352,8.333,2.504,10.803,23.415
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.038571,8.272,8.333,0.218,0.562,7.849
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.032390,9.385,8.353,1.431,9.666,22.383
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.047006,8.434,8.353,0.227,0.964,7.767
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.040127,7.737,8.362,1.936,10.203,23.008
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.055221,8.216,8.362,0.226,0.911,7.914
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.048192,8.065,8.348,2.154,10.266,23.291
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.063646,8.425,8.348,0.184,0.640,7.837
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.056665,8.473,8.345,1.802,10.047,23.163
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.072141,8.495,8.345,0.324,0.437,7.686
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.065133,8.468,8.329,1.580,9.926,23.024
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.080591,8.450,8.329,0.754,1.802,7.566
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.073202,8.069,8.335,1.863,10.154,23.289
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.088767,8.176,8.335,0.196,0.384,7.725
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.081234,8.032,8.365,2.130,10.460,23.623
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.097118,8.351,8.365,0.275,1.773,7.739
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.089711,8.477,8.342,2.002,10.141,23.488
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.105493,8.375,8.342,0.187,1.609,7.705
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.098668,8.957,8.319,1.199,9.954,22.850
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.114000,8.507,8.319,0.827,0.823,7.517
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.106146,7.478,8.355,2.485,11.024,23.726
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.122163,8.163,8.355,0.200,0.780,7.709
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.114544,8.398,8.345,2.610,10.778,23.672
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.130445,8.282,8.345,1.191,1.160,7.772
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.123179,8.634,8.336,2.176,10.580,23.375
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.138872,8.427,8.336,0.210,0.795,7.681
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.131527,8.348,8.356,2.251,10.484,23.382
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.147122,8.250,8.356,0.959,0.864,7.787
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.139637,8.111,8.353,2.404,10.782,23.624
