Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed,QPCTime
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.014131,8.268,8.332,0.184,1.447,7.840,27275560654
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.008981,7.951,8.346,2.432,10.825,21.337,27275509145
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.022420,8.289,8.346,0.170,1.486,7.898,27275643541
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.017216,8.236,8.343,2.611,10.837,21.445,27275591503
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.030645,8.225,8.343,0.130,1.594,8.015,27275725794
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.026219,9.003,8.334,1.855,10.128,20.775,27275681532
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.038858,8.212,8.334,0.119,1.698,8.137,27275807917
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.033896,7.677,8.336,2.444,10.757,21.435,27275758298
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.047317,8.459,8.336,0.117,1.458,8.014,27275892510
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.042859,8.963,8.348,1.805,9.941,20.820,27275847927
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.055786,8.469,8.348,0.174,1.137,7.892,27275977200
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.050726,7.867,8.342,2.096,10.263,21.294,27275926598
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.064109,8.323,8.342,0.176,1.051,7.911,27276060429
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.059209,8.483,8.360,1.788,9.987,21.171,27276011433
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.072401,8.292,8.360,0.163,0.984,7.979,27276143352
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.067024,7.814,8.333,2.192,10.490,21.689,27276089576
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.080791,8.390,8.333,0.149,0.821,7.922,27276227251
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.075047,8.023,8.347,2.493,10.804,22.014,27276169804
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.089156,8.365,8.347,0.157,0.905,7.904,27276310902
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.083470,8.423,8.360,2.403,10.657,21.950,27276254037
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.097508,8.352,8.360,0.214,0.774,7.911,27276394423
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.091696,8.227,8.329,2.467,10.622,22.052,27276336303
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.105826,8.317,8.329,0.180,0.705,7.923,27276477597
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.100092,8.395,8.339,2.247,10.584,21.996,27276420257
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.114183,8.357,8.339,0.148,0.561,7.905,27276561168
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.108308,8.216,8.350,2.373,10.607,22.130,27276502417
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.122496,8.313,8.350,0.209,0.539,7.942,27276644298
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.116700,8.392,8.340,2.232,10.387,22.078,27276586339
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.130860,8.364,8.340,0.153,0.430,7.917,27276727939
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.124818,8.118,8.348,2.288,10.437,22.307,27276667518
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.139173,8.313,8.348,0.172,1.414,7.952,27276811070
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.133038,8.220,8.354,2.230,10.534,22.441,27276749722
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.147526,8.353,8.354,0.160,1.293,7.953,27276894602
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.141160,8.122,8.335,2.443,10.575,22.653,27276830940
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.155957,8.431,8.335,0.164,1.059,7.856,27276978911
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.149557,8.397,8.341,2.204,10.414,22.598,27276914906
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.164230,8.273,8.341,0.160,1.199,7.925,27277061639
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.157817,8.260,8.353,2.167,10.515,22.690,27276997510
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.172590,8.360,8.353,0.239,1.036,7.918,27277145237
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.165871,8.054,8.344,2.488,10.672,22.980,27277078050
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.180913,8.323,8.344,0.155,0.933,7.938,27277228468
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.174457,8.586,8.331,2.120,10.342,22.725,27277163910
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.189258,8.346,8.331,0.195,0.899,7.923,27277311924
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.182885,8.428,8.356,1.937,10.206,22.652,27277248190
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.197615,8.357,8.356,0.196,0.766,7.922,27277395492
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.190826,7.941,8.337,2.287,10.486,23.048,27277327599
dwm.exe,1520,0x000001927FEB15A0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.206032,8.417,8.337,0.200,0.566,7.842,27277479662
GRB.exe,13456,0x000002604A44FD30,DXGI,0,0,0,Composed: Copy with GPU GDI,0,0.198849,8.023,8.347,2.500,10.851,23.372,27277407832
